"submittedname","acceptedname","sourceid","score","matchedname","authority","uri"
"Salix caprea","Salix caprea","iPlant_TNRS","1","Salix caprea","L.","http://www.tropicos.org/Name/28300146"
"Sambucus nigra","Sambucus nigra","iPlant_TNRS","1","Sambucus nigra","L.","http://www.tropicos.org/Name/6000026"
"Solanum dulcamara","Solanum dulcamara","iPlant_TNRS","1","Solanum dulcamara","L.","http://www.tropicos.org/Name/29600249"
"Vaccinium myrtillus","Vaccinium myrtillus","iPlant_TNRS","1","Vaccinium myrtillus","L.","http://www.tropicos.org/Name/12300055"
"Viburnum lantana","Viburnum lantana","iPlant_TNRS","1","Viburnum lantana","L.","http://www.tropicos.org/Name/6000173"
"Viburnum opulus","Viburnum opulus","iPlant_TNRS","1","Viburnum opulus","L.","http://www.tropicos.org/Name/6000037"
"Actaea spicata","Actaea spicata","iPlant_TNRS","1","Actaea spicata","L.","http://www.tropicos.org/Name/27100019"
"Adoxa moschatellina","Adoxa moschatellina","iPlant_TNRS","1","Adoxa moschatellina","L.","http://www.tropicos.org/Name/600001"
"Ajuga reptans","Ajuga reptans","iPlant_TNRS","1","Ajuga reptans","L.","http://www.tropicos.org/Name/17600017"
"Allium ursinum","Allium ursinum","iPlant_TNRS","1","Allium ursinum","L.","http://www.tropicos.org/Name/18400122"
"Anemone nemorosa","Anemonoides nemorosa","iPlant_TNRS","1","Anemone nemorosa","(L.) Holub","http://www.tropicos.org/Name/27102056"
"Arum maculatum","Arum maculatum","iPlant_TNRS","1","Arum maculatum","L.","http://www.tropicos.org/Name/2101905"
"Asperula odorata","Galium odoratum","iPlant_TNRS","1","Asperula odorata","(L.) Scop.","http://www.tropicos.org/Name/27900095"
"Cephalanthera pallens","","iPlant_TNRS","1","Cephalanthera pallens","",""
"Circaea alpina","Circaea alpina","iPlant_TNRS","1","Circaea alpina","L.","http://www.tropicos.org/Name/23200006"
"Circaea lutetiana","Circaea lutetiana","iPlant_TNRS","1","Circaea lutetiana","L.","http://www.tropicos.org/Name/23200713"
"Conopodium denudatum","","iPlant_TNRS","1","Conopodium denudatum","",""
"Convallaria majalis","Convallaria majalis","iPlant_TNRS","1","Convallaria majalis","L.","http://www.tropicos.org/Name/18401630"
