AccSpeciesID,AccSpeciesName,Measurements
3639,Andropogon virginicus,1
3642,Androsace akbaitalensis,2
64219,Androsace albana,1
3648,Androsace lactea,5
3649,Androsace maxima,5
3650,Androsace obtusifolia,6
3652,Androsace septentrionalis,21
3654,Androsace villosa,1
3661,Andryala pinnatifida,1
3665,Aneilema beninense,7
3666,Aneilema nudiflorum,1
3667,Aneilema sp,18
3672,Anemonastrum fasciculatum,2
3676,Anemone canadensis,1
3678,Anemone coronaria,1
3680,Anemone cylindrica,1
3691,Anemone nemorosa,22
3695,Anemone patens,2
74778,Anemone pavoniana,5
3699,Anemone quinquefolia,14
3701,Anemone ranunculoides,10
3706,Anemone sp,1
3707,Anemone speciosa,1
3708,Anemone sylvestris,11
3715,Anemopaegma chrysanthum,1
3716,Anemopaegma chrysoleucum,1
65559,Anemopaegma orbiculatum,1
3720,Anemopaegma santaritense,2
3724,Anethum graveolens,10
74792,Angelica amurensis,1
3730,Angelica archangelica,17
74795,Angelica grayi,1
3738,Angelica sylvestris,9
3742,Angiopteris evecta,2
3744,Angiopteris sp,1
3746,Angophora costata,5
3750,Angophora floribunda,5
3751,Angophora hispida,3
3757,Angophora sp,1
72665,Aniba angulopepper,1
3789,Aniba canelilla,6
3790,Aniba cylindriflora,1
74897,Aniba duckei,1
3791,Aniba excelsa,1
3792,Aniba ferrea,1
3794,Aniba guianensis,16
3795,Aniba hostmanniana,6
74900,Aniba jenmanii,1
3797,Aniba kappleri,1
74903,Aniba murcana,1
3799,Aniba panurensis,7
3801,Aniba perutilis,1
3802,Aniba puchury-minor,3
3803,Aniba riparia,4
3804,Aniba rosaeodora,1
3805,Aniba sp,7
3806,Aniba taubertiana,4
3807,Aniba terminalis,5
3808,Aniba williamsii,1
3813,Anigozanthos sp,1
3818,Anisantha diandra,3
3820,Anisantha sterilis,5
3821,Anisantha tectorum,2
3829,Anisomeles ovata,1
74917,Anisomeris tenuiflora,1
3831,Anisophyllea beccariana,1
3833,Anisophyllea disticha,9
3835,Anisophyllea guianensis,1
3837,Anisophyllea manausensis,1
3841,Anisophyllea sp,1
3842,Anisopogon avenaceus,1
3844,Anisoptera costata,1
3854,Anisoptera sp,4
74929,Anisotome aromatica,1
3862,Anneslea sp,7
3865,Annona acuminata,19
74939,Annona amazonica,1
3866,Annona ambotay,2
74943,Annona deminuta,1
3871,Annona duckei,4
3872,Annona foetida,1
3873,Annona glabra,1
3874,Annona hayesii,6
3875,Annona hypoglauca,4
74947,Annona impressivenia,1
3877,Annona montana,5
72666,Annona mosaic,1
3878,Annona muricata,2
74952,Annona poeppigii,1
74953,Annona prevostiae,1
3884,Annona senegalensis,1
3885,Annona sp,7
3886,Annona spraguei,29
74955,Annona symphyocarpa,1
74956,Annona tenuiflora,1
3892,Anodendron affine,1
62209,Anodendron paniculatum,2
3894,Anodopetalum biglandulosum,1
59399,Anogeissus lanceolata,1
3898,Anogeissus leiocarpa,2
65581,Anogeissus leiocarpus,37
3904,Anomalocalyx uleanus,1
3910,Anomospermum grandifolium,1
3911,Anomospermum reticulatum,2
3913,Anona senegalensis,1
3914,Anonidium mannii,3
3915,Anopterus glandulosus,1
3919,Anredera cordifolia,3
3921,Antennaria alpina,1
3922,Antennaria carpatica,2
3923,Antennaria caucasica,1
3925,Antennaria dioica,16
3930,Antennaria neglecta,3
101749,Antennaria neodiocia,3
3932,Antennaria parvifolia,25
3933,Antennaria plantaginifolia,2
3937,Antennaria rosulata,21
3944,Anthemis arvensis,17
3948,Anthemis cotula,7
3949,Anthemis cretica,1
3952,Anthemis marschalliana,3
3956,Anthemis ruthenica,5
3959,Anthemis tinctoria,13
3961,Anthemis triumfettii,1
3979,Anthericum liliago,5
3980,Anthericum ramosum,21
3985,Anthocephalus chinensis,1
59383,Anthocephalus sp,2
3993,Anthocleista sp,1
3995,Anthodiscus amazonicus,2
3997,Anthodiscus klugii,2
3998,Anthodiscus peruanus,2
3999,Anthodiscus pilosus,2
4002,Anthodon panamense,1
4003,Anthonota macrophylla,1
4008,Anthonotha macrophylla,3
65596,Anthospermum aethiopicum,1
4024,Anthoxanthum alpinum,116
