species,photo
Cotoneaster franchetii,c3
Cotoneaster horizontalis,c3
Cotoneaster integrifolius,c3
Cotoneaster lacteus,c3
Cotoneaster salicifolius,c3
Cotoneaster simonsii,c3
Cotoneaster x watereri,c3
Cotula coronopifolia,c3
Crambe maritima,c3
Crataegus laevigata,c3
Crataegus monogyna,c3
Crataegus oxyacanthoides,c3
Crepis biennis,c3
Crepis capillaris,c3
Crepis foetida,c3
Crepis mollis,c3
Crepis paludosa,c3
Crepis praemorsa,c3
Crepis vesicaria,c3
Crepis virens,c3
Crinitaria linosyris,c3
Crithmum maritimum,c3
Crocosmia paniculata,c3
Crocosmia x crocosmiiflora = C. potsii x C. aurea,c3
Crocus nudiflorus,c3
Crocus vernus,c3
Cruciata chersonensis,c3
Cruciata laevipes,c3
Cucubalus baccifer,c3
Curtonus paniculatus,c3
Cymbalaria muralis,c3
Cymbalaria pallida,c3
Cynoglossum germanicum,c3
Cynoglossum montanum,c3
Cynoglossum officinale,c3
Cynosurus cristatus,c3
Cynosurus echinatus,c3
Cyperus fuscus,c3
Cypripedium calceolus,c3
Cytisus nigricans,c3
Cytisus scoparius,c3
Daboecia cantabrica,c3
Dactylis glomerata,c3
Dactylorchis fuchsii,c3
Dactylorchis incarnata,c3
Dactylorchis maculata,c3
Dactylorchis majalis,c3
Dactylorchis praetermissa,c3
Dactylorchis purpurella,c3
Dactylorchis traunsteineri,c3
Dactylorhiza fuchsii,c3
Dactylorhiza incarnata,c3
Dactylorhiza kerryensis,c3
Dactylorhiza lapponica,c3
Dactylorhiza longebracteata,c3
Dactylorhiza maculata,c3
Dactylorhiza maculata subsp. fuchsii,c3
Dactylorhiza majalis,c3
Dactylorhiza majalis subsp. praetermissa,c3
Dactylorhiza majalis subsp. purpurella,c3
Dactylorhiza praetermissa,c3
Dactylorhiza pseudocordigera,c3
Dactylorhiza purpurella,c3
Dactylorhiza traunsteineri,c3
Dactylorhiza traunsteineri subsp. lapponica,c3
Dactylorhiza traunsteinerioides,c3
Damasonium alisma,c3
Danthonia decumbens,c3
Daphne laureola,c3
Daphne mezereum,c3
Datura inermis,c3
Datura stramonium,c3
Datura tatula,c3
Daucus carota,c3
Daucus gummifer,c3
Dentaria bulbifera,c3
Deschampsia alpina,c3
Deschampsia cespitosa,c3
Deschampsia flexuosa,c3
Deschampsia setacea,c3
Descurainia sophia,c3
Desmazeria marina,c3
Desmazeria rigida,c3
Dianthus armeria,c3
Dianthus caesius,c3
Dianthus deltoides,c3
Dianthus gratianopolitanus,c3
Dianthus plumarius,c3
Diapensia lapponica,c3
Digitalis purpurea,c3
Digitaria ischaemum,c3
Diplotaxis muralis,c3
Diplotaxis tenuifolia,c3
Dipsacus fullonum,c3
Dipsacus pilosus,c3
Dipsacus sylvestris,c3
Doronicum pardalianches,c3
Draba aizoides,c3
Draba incana,c3
Draba muralis,c3
Draba norvegica,c3
Draba rupestris,c3
Drosanthemum floribundum,c3
Drosera anglica,c3
Drosera intermedia,c3
Drosera longifolia,c3
Drosera rotundifolia,c3
Dryas octopetala,c3
Echium lycopsis,c3
Echium plantagineum,c3
Echium vulgare,c3
Egeria densa,c3
Elatine hexandra,c3
Elatine hydropiper,c3
Eleocharis acicularis,c3
Eleocharis austriaca,c3
Eleocharis mamillata subsp. austriaca,c3
Eleocharis multicaulis,c3
Eleocharis palustris,c3
Eleocharis parvula,c3
Eleocharis quinqueflora,c3
Eleocharis uniglumis,c3
Eleogiton fluitans,c3
Elodea callitrichoides,c3
Elodea canadensis,c3
Elodea ernstiae,c3
Elodea nuttallii,c3
Elymus arenarius,c3
Elymus athericus,c3
Elymus caninus,c3
Elymus farctus,c3
Elymus pycnanthus,c3
Elymus repens,c3
Elymus trachycaulus,c3
Elytrigia atherica,c3
Elytrigia juncea,c3
Elytrigia repens,c3
Empetrum hermaphroditum,c3
Empetrum nigrum,c3
Endymion non-scriptus,c3
Epilobium adenocaulon,c3
Epilobium adnatum,c3
Epilobium alsinifolium,c3
Epilobium anagallidifolium,c3
Epilobium angustifolium,c3
Epilobium brunnescens,c3
Epilobium ciliatum,c3
Epilobium hirsutum,c3
Epilobium lamyi,c3
Epilobium lanceolatum,c3
Epilobium montanum,c3
Epilobium nerterioides,c3
Epilobium nerteroides,c3
Epilobium obscurum,c3
Epilobium palustre,c3
Epilobium parviflorum,c3
Epilobium pedunculare auct non cunn.,c3
Epilobium roseum,c3
Epilobium semiadnatum,c3
Epilobium tetragonum,c3
Epipactis atrorubens,c3
Epipactis cambrensis,c3
Epipactis cleistogama,c3
Epipactis confusa,c3
Epipactis dunensis,c3
Epipactis helleborine,c3
Epipactis leptochila,c3
Epipactis muelleri,c3
Epipactis palustris,c3
Epipactis pendula,c3
Epipactis phyllanthes,c3
Epipactis purpurata,c3
Epipactis vectensis,c3
Epipactis youngiana,c3
Eranthis hyemalis,c3
Erica ciliaris,c3
Erica cinerea,c3
Erica erigena,c3
Erica herbacea subsp. occidentalis,c3
Erica hibernica,c3
Erica lusitanica,c3
Erica mackaiana,c3
Erica mediterranea,c3
Erica tetralix,c3
Erica vagans,c3
Erigeron acer,c3
Erigeron acris,c3
Erigeron borealis,c3
Erigeron canadensis,c3
Erigeron glaucus,c3
Erigeron karvinskianus,c3
Erigeron mucronatus,c3
Erigeron sumatrensis,c3
Erinus alpinus,c3
Eriocaulon aquaticum,c3
Eriocaulon septangulare,c3
Eriophorum angustifolium,c3
Eriophorum gracile,c3
Eriophorum latifolium,c3
Eriophorum vaginatum,c3
Erodium cicutarium,c3
Erodium cicutarium subsp. bipinnatum,c3
Erodium glutinosum,c3
Erodium lebelii,c3
Erodium maritimum,c3
Erodium moschatum,c3
Erophila glabrescens,c3
Erophila majuscula,c3
Erophila praecox,c3
Erophila spathulata,c3
Erophila verna,c3
Eryngium campestre,c3
Eryngium maritimum,c3
Erysimum cheiranthoides,c3
